day,x,y,z
57,-1.9418240590269563E12,-3.0422948119187494E11,1.1489836092547106E7
58,-1.9732809850796602E12,-3.090602774954319E11,1.1546068222850433E7
59,-2.004737665449071E12,-3.1389103525529193E11,1.1602299719451077E7
60,-2.0361941077796445E12,-3.187217556838475E11,1.1658530603925267E7
61,-2.067650319364468E12,-3.235524399371548E11,1.171476089677626E7
62,-2.0991063071664717E12,-3.2838308911837195E11,1.1770990617503976E7
63,-2.1305620778380625E12,-3.3321370428093823E11,1.1827219784669079E7
64,-2.1620176377393198E12,-3.380442864315184E11,1.1883448415952045E7
65,-2.1934729929548774E12,-3.428748365327318E11,1.1939676528207678E7
66,-2.2249281493096045E12,-3.47705355505686E11,1.1995904137515472E7
67,-2.2563831123831855E12,-3.5253584423232965E11,1.2052131259226209E7
68,-2.2878378875236924E12,-3.573663035576422E11,1.2108357908005115E7
69,-2.319292479860229E12,-3.621967342916718E11,1.2164584097871883E7
70,-2.350746894314725E12,-3.6702713721143494E11,1.2220809842237823E7
71,-2.382201135612947E12,-3.7185751306268866E11,1.2277035153940383E7
72,-2.413655208294785E12,-3.766878625615856E11,1.233326004527527E7
73,-2.4451091167238784E12,-3.815181863962206E11,1.2389484528026348E7
74,-2.4765628650966196E12,-3.8634848522807794E11,1.244570861349353E7
75,-2.508016457450596E12,-3.911787596933862E11,1.2501932312518775E7
76,-2.5394698976725044E12,-3.960090104043882E11,1.2558155635510389E7
77,-2.570923189505575E12,-4.008392379505316E11,1.2614378592465725E7
78,-2.6023763365565503E12,-4.056694428995874E11,1.2670601192992436E7
79,-2.633829342302239E12,-4.1049962579869965E11,1.2726823446328362E7
80,-2.6652822100956846E12,-4.153297871753731E11,1.278304536136018E7
81,-2.696734943171972E12,-4.201599275384022E11,1.2839266946640883E7
82,-2.728187544653696E12,-4.249900473787457E11,1.2895488210406205E7
83,-2.759640017556115E12,-4.298201471703509E11,1.2951709160590036E7
84,-2.7910923647920205E12,-4.3465022737093054E11,1.3007929804838924E7
85,-2.8225445891763228E12,-4.394802884226963E11,1.3064150150525713E7
86,-2.8539966934303916E12,-4.4431033075305084E11,1.312037020476239E7
87,-2.885448680186154E12,-4.49140354775242E11,1.3176589974412182E7
88,-2.916900551989972E12,-4.5397036088898114E11,1.3232809466100974E7
89,-2.9483523113063135E12,-4.5880034948102795E11,1.3289028686228067E7
90,-2.979803960521224E12,-4.636303209257442E11,1.3345247640976345E7
91,-3.0112555019456226E12,-4.6846027558561816E11,1.3401466336321877E7
92,-3.0427069378184204E12,-4.7329021381176154E11,1.3457684778042993E7
93,-3.074158270309484E12,-4.781201359443806E11,1.3513902971728867E7
94,-3.105609501522444E12,-4.8295004231322345E11,1.3570120922787651E7
95,-3.137060633497365E12,-4.8777993323800415E11,1.3626338636454167E7
96,-3.1685116682132817E12,-4.9260980902880597E11,1.3682556117797198E7
97,-3.199962607590607E12,-4.974396699864644E11,1.3738773371726407E7
98,-3.231413453493427E12,-5.022695164029314E11,1.3794990402998893E7
99,-3.2628642077316816E12,-5.070993485616216E11,1.385120721622542E7
100,-3.2943148720632427E12,-5.119291667377422E11,1.3907423815876327E7
101,-3.3257654481958906E12,-5.167589711986069E11,1.3963640206287151E7
102,-3.357215937789201E12,-5.2158876220393475E11,1.4019856391663961E7
103,-3.388666342456343E12,-5.264185400061355E11,1.4076072376088442E7
104,-3.42011666376579E12,-5.3124830485058105E11,1.4132288163522732E7
105,-3.4515669032429604E12,-5.360780569758649E11,1.4188503757814016E7
106,-3.483017062371776E12,-5.409077966140497E11,1.4244719162698923E7
107,-3.5144671425961543E12,-5.4573752399090314E11,1.4300934381807689E7
108,-3.5459171453214346E12,-5.50567239326124E11,1.435714941866815E7
109,-3.5773670719157397E12,-5.553969428335576E11,1.4413364276709542E7
110,-3.608816923711279E12,-5.602266347214017E11,1.4469578959266115E7
111,-3.6402667020055933E12,-5.650563151924042E11,1.4525793469580606E7
112,-3.6717164080627495E12,-5.69885984444051E11,1.4582007810807537E7
113,-3.7031660431144805E12,-5.747156426687474E11,1.463822198601638E7
114,-3.73461560836128E12,-5.795452900539904E11,1.4694435998194568E7
